X,Y,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
1036440.006,198345.5394,Briarwood,1,Briarwood,,,0,Queens
1040561.292,196067.4347,Jamaica Center,2,Jamaica,Center,,0,Queens
1052151.15,211020.5672,Oakland Gardens,2,Oakland,Gardens,,0,Queens
1056678.725,201296.6831,Queens Village,2,Queens,Village,,0,Queens
1050993.991,198493.381,Hollis,1,Hollis,,,0,Queens
1042363.453,193249.5345,South Jamaica,1,South Jamaica,,,0,Queens
1051169.999,192373.8082,St. Albans,1,St. Albans,,,0,Queens
1047330.397,185356.0093,Rochdale,1,Rochdale,,,0,Queens
1050714.25,182093.0184,Springfield Gardens,2,Springfield,Gardens,,0,Queens
1057662.748,191783.8583,Cambria Heights,2,Cambria,Heights,,0,Queens
1057701.24,179776.3006,Rosedale,1,Rosedale,,,0,Queens
1052288.061,159109.69,Far Rockaway,2,Far Rockaway,,,0,Queens
1034217.87,159026.5652,Broad Channel,2,Broad,Channel,,0,Queens
1004948.278,142361.6097,Breezy Point,2,Breezy,Point,,0,Queens
1011312.359,221981.5876,Steinway,1,Steinway,,,0,Queens
1038420.429,228169.0703,Beechhurst,1,Beechhurst,,,0,Queens
1046061.492,224566.3557,Bay Terrace,2,Bay,Terrace,,0,Queens
1046421.175,156364.2231,Edgemere,1,Edgemere,,,0,Queens
1042022.389,153986.0359,Arverne,1,Arverne,,,0,Queens
1033592.385,151656.8339,Rockaway Beach,2,Rockaway,Beach,,0,Queens
1023825.36,147717.0376,Neponsit,1,Neponsit,,,0,Queens
1036117.338,217723.9262,Murray Hill,2,Murray,Hill,,0,Queens
1064930.873,209514.8523,Floral Park,1,Floral Park,,,0,Queens
1048796.778,202026.4753,Holliswood,1,Holliswood,,,0,Queens
1043232.953,200499.4796,Jamaica Estates,2,Jamaica,Estates,,0,Queens
1032517.459,210592.3958,Queensboro Hill,2,Queensboro,Hill,,0,Queens
1040350.699,203050.2842,Hillcrest,1,Hillcrest,,,0,Queens
1003205.361,216793.6295,Ravenswood,1,Ravenswood,,,0,Queens
1025965.093,181195.5779,Lindenwood,1,Lindenwood,,,0,Queens
1056306.599,182711.3423,Laurelton,1,Laurelton,,,0,Queens
1022348.619,207478.3052,Lefrak City,2,Lefrak,City,,0,Queens
1024803.322,149219.2433,Belle Harbor,1,Belle Harbor,,,0,Queens
1028268.506,150750.838,Rockaway Park,1,Rockaway Park,,,0,Queens
1040722.21,157104.0477,Somerville,1,Somerville,,,0,Queens
1053125.308,179830.9563,Brookville,1,Brookville,,,0,Queens
1056614.285,206441.2128,Bellaire,1,Bellaire,,,0,Queens
1023725.493,214037.1878,North Corona,2,North,Corona,,0,Queens
1028321.835,199668.5879,Forest Hills Gardens,3,Forest,Hills,Gardens,0,Queens
962228.7445,174270.5311,St. George,2,St.,George,,0,Staten Island
960100.503,172681.53,New Brighton,2,New,Brighton,,0,Staten Island
962625.6164,167692.6328,Stapleton,1,Stapleton,,,0,Staten Island
964869.7504,163456.2906,Rosebank,1,Rosebank,,,0,Staten Island
954500.1868,169505.1092,West Brighton,2,West,Brighton,,0,Staten Island
960030.2394,166695.7917,Grymes Hill,2,Grymes,Hill,,0,Staten Island
953333.0011,156824.213,Todt Hill,2,Todt,Hill,,0,Staten Island
962151.8795,150686.2482,South Beach,2,South,Beach,,0,Staten Island
948324.664,170165.7335,Port Richmond,2,Port,Richmond,,0,Staten Island
942592.1184,169765.7711,Mariner's Harbor,2,Mariner's,Harbor,,0,Staten Island
935780.4178,172378.4529,Port Ivory,2,Port,Ivory,,0,Staten Island
